               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11401,            0.024277,            0.023789,                   0,                   0,                   0,                   0,             0.11303,            0.020988,            0.023748,              0.0928,              0.0008,              0.0008
                   1,              0.1131,            0.022363,            0.022802,                   0,                   0,                   0,                   0,              0.1083,            0.015858,            0.021584,            0.084698,           0.0016983,           0.0016983
                   2,             0.12358,            0.019809,            0.023404,          6.7045e-05,            0.010949,           3.484e-05,          1.2647e-05,             0.10311,            0.014797,            0.018625,            0.076595,           0.0025949,           0.0025949
                   3,               0.114,            0.017673,             0.02057,          5.7777e-05,            0.010949,          2.9833e-05,          4.9273e-06,             0.10268,            0.013503,            0.016702,             0.06849,           0.0034896,           0.0034896
                   4,             0.10326,            0.015452,            0.016525,          0.00011907,            0.021898,          8.2046e-05,          1.6844e-05,             0.10269,             0.01176,            0.015337,            0.060383,           0.0043826,           0.0043826
                   5,            0.090388,            0.013396,             0.01557,          6.2279e-05,            0.010949,          3.2669e-05,          5.3988e-06,            0.098779,           0.0099472,            0.014913,            0.052274,           0.0052738,           0.0052738
                   6,            0.096356,            0.011914,            0.014742,          0.00065084,            0.091241,           0.0012677,          0.00019316,             0.08969,           0.0093272,            0.014023,            0.044163,           0.0061632,           0.0061632
                   7,             0.08353,            0.011392,            0.014233,          0.00040844,            0.065693,          0.00033421,           8.505e-05,             0.09187,           0.0090703,             0.01695,            0.036051,           0.0070508,           0.0070508
                   8,            0.088032,            0.011294,            0.014633,          0.00050284,            0.094891,          0.00043501,          0.00013056,            0.090336,           0.0085662,             0.01753,            0.027937,           0.0079366,           0.0079366
                   9,             0.10704,            0.011394,            0.016131,          0.00026675,            0.054745,          0.00014815,          5.6187e-05,            0.091247,           0.0083343,            0.016739,            0.019821,           0.0088207,           0.0088207
                  10,            0.097173,            0.010872,            0.014611,           0.0009294,             0.16265,           0.0095085,           0.0019447,            0.087761,           0.0081145,              0.0179,            0.011703,            0.009703,            0.009703
                  11,             0.10468,            0.011324,            0.015497,          0.00076929,             0.13187,           0.0026667,          0.00048074,            0.089879,           0.0072707,            0.017331,           0.0098911,           0.0098911,           0.0098911
                  12,            0.095484,           0.0089284,            0.011956,           0.0006859,             0.13345,           0.0066112,           0.0028834,            0.081508,            0.008763,            0.017848,           0.0098911,           0.0098911,           0.0098911
                  13,            0.089539,            0.011454,            0.013532,            0.002051,             0.28755,            0.029625,           0.0076249,            0.084297,           0.0085291,            0.019864,           0.0098812,           0.0098812,           0.0098812
                  14,            0.079946,            0.010674,            0.016736,             0.63402,            0.025547,            0.054669,            0.016109,            0.080407,            0.008372,            0.018068,           0.0098713,           0.0098713,           0.0098713
                  15,             0.08059,            0.011658,            0.013595,            0.031517,            0.087591,            0.026891,           0.0057024,            0.098771,           0.0046359,            0.019719,           0.0098614,           0.0098614,           0.0098614
                  16,            0.083477,           0.0082113,            0.015763,           0.0010467,             0.13981,          0.00065829,          0.00012079,            0.086148,            0.004796,            0.017614,           0.0098515,           0.0098515,           0.0098515
                  17,             0.07345,            0.008699,             0.01264,             0.62631,            0.069343,            0.037165,           0.0088575,             0.07524,           0.0075854,            0.017041,           0.0098416,           0.0098416,           0.0098416
                  18,            0.079312,            0.010047,            0.012528,             0.56622,            0.046807,             0.01705,           0.0032277,            0.076039,           0.0084501,            0.017726,           0.0098317,           0.0098317,           0.0098317
                  19,            0.077364,           0.0096517,            0.014212,             0.67254,            0.080292,            0.079248,            0.016953,            0.068396,           0.0097852,            0.019667,           0.0098218,           0.0098218,           0.0098218
